listing_nickname,rev_mo,launch_date,end_date,building
C711,2017-10-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2017-11-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2017-12-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-01-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-02-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-03-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-04-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-05-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-06-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-07-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-08-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
C711,2018-09-01,2017-07-27T07:00:00Z,2018-09-30T07:00:00Z,cove
CR109,2018-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2018-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-01-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-02-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-03-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-04-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-05-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR109,2019-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2018-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-01-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-02-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-03-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-04-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-05-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR110,2019-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2018-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-01-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-02-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-03-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-04-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-05-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR111,2019-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2018-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-01-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-02-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-03-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-04-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-05-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-06-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-07-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-08-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-09-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-10-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-11-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR113,2019-12-01,2018-06-15T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-06-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-07-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-08-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-09-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-10-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-11-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2018-12-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-01-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-02-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-03-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-04-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-05-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-06-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-07-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-08-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-09-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-10-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-11-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR114,2019-12-01,2018-06-13T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR302,2018-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
