listing_nickname,building,rev_mo,launch_date,end_date,Bldg_Name,Address,Latitude,Longitude,neighborhood
test,testdummy,2018-01-31T08:00:00Z,2018-01-31T08:00:00Z,2018-01-31T08:00:00Z,NA,NA,NA,NA,NA
C703,cove,2017-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-05-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-06-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C703,cove,2018-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-05-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-06-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C708,cove,2018-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-05-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-06-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C709,cove,2018-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-05-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-06-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C710,cove,2018-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-07-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-08-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-09-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-10-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-11-30T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2017-12-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2018-01-31T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2018-02-28T08:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2018-03-31T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
C711,cove,2018-04-30T07:00:00Z,2017-07-27T07:00:00Z,2018-07-27T07:00:00Z,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill
